,State,State ID,District,District ID,Year,ABY,Year2017,Year2018,Year2019,2018andABY,2019andABY,% Institutional deliveries to Total Reported Deliveries,Total Number of reported live births,% live birth to Reported Birth,% Newborns having weight less than 2.5 kg to Newborns weighed at birth,% Newborns given OPV0 at birth to Reported live birth,% Newborns given BCG to Reported live birth,% Newborns given Hep-B0(Birth Dose)at birth to Reported live birth,% Infants 0 to 11 months old who received Measles+ MR vaccine to reported live births,No of children 16-24 months age given Measles Rubella Vaccine 2nd dose,Total Number of Infant Deaths reported,Total no. maternal deaths,Total number of pregnant women Registered for ANC,MMR,IMR,Doctor,Sub Centres,PHCs,CHCs,Sub Divisional Hospitals,District Hospitals,Total Health Centres,GDP_PC,Poor_GDP_PC
152,Assam,4,Kamrup M,15,2019,1,0,0,1,0,1,99.6,33853,97.1,20.6,93,126.6,85.7,67.7,19829,1563,98,23127,289.49,46.17,183,51,46,3,3,4,104,86182,1
153,Assam,4,Kamrup R,16,2017,0,1,0,0,0,0,97.7,20677,99.0,17.0,53.5,130.0,50.9,131.1,2645,381,14,32524,67.71,18.43,58,324,68,18,1,1,412,74183,1
154,Assam,4,Kamrup R,16,2018,1,0,1,0,1,0,97.9,19817,98.8,15.0,36.6,110.3,44.5,140.5,24790,238,26,32312,131.2,12.01,111,324,67,18,1,1,411,82078,1
155,Assam,4,Kamrup R,16,2019,1,0,0,1,0,1,98.2,20515,99.1,11.6,62.4,108.2,54.4,133.6,26134,281,33,31586,160.86,13.7,183,324,67,18,1,1,411,86182,1
156,Assam,4,Karbi Anglong,17,2017,0,1,0,0,0,0,83.9,17401,98.0,7.4,53.1,123.4,44.7,120.2,713,181,28,23435,160.91,10.4,58,163,43,8,1,1,216,74183,1
157,Assam,4,Karbi Anglong,17,2018,1,0,1,0,1,0,83.8,17053,98.2,6.0,41.2,118.4,43.8,118.9,18029,172,33,24224,193.51,10.09,111,163,43,8,1,1,216,82078,1
158,Assam,4,Karbi Anglong,17,2019,1,0,0,1,0,1,84.8,16435,98.4,6.8,62.3,117.9,54.8,112.4,16215,197,22,21593,133.86,11.99,183,163,43,8,1,1,216,86182,1
159,Assam,4,Karimganj,18,2017,0,1,0,0,0,0,66.3,27108,96.9,13.5,52.1,117.8,48.1,100.9,1444,1045,98,32926,361.52,38.55,58,225,37,13,13,1,276,74183,1
160,Assam,4,Karimganj,18,2018,1,0,1,0,1,0,72.8,27968,96.7,11.3,47.1,114.2,54.1,100.7,24135,828,73,34443,261.01,29.61,111,233,37,14,14,1,285,82078,1
161,Assam,4,Karimganj,18,2019,1,0,0,1,0,1,77.9,26820,97.4,13.5,62,124.4,59.8,100.0,22906,870,46,31856,171.51,32.44,183,233,37,14,14,1,285,86182,1
162,Assam,4,Kokrajhar,19,2017,0,1,0,0,0,0,91.0,16316,97.5,14.5,66.6,111.9,62.3,96.5,150,426,59,18429,361.61,26.11,58,178,48,4,1,1,232,74183,1
163,Assam,4,Kokrajhar,19,2018,1,0,1,0,1,0,92.1,15454,98.0,13.2,55.5,110.6,58.2,95.4,10609,406,44,18276,284.72,26.27,111,178,48,4,1,1,232,82078,1
164,Assam,4,Kokrajhar,19,2019,1,0,0,1,0,1,93.3,16192,98.2,11.2,70.2,106.3,64.1,94.3,13322,538,43,18652,265.56,33.23,183,178,48,4,1,1,232,86182,1
165,Assam,4,Lakhimpur,20,2017,0,1,0,0,0,0,98.6,17795,98.1,14.0,67.2,112.0,49.9,113.7,622,311,7,22071,39.34,17.48,58,158,37,15,1,1,212,74183,1
166,Assam,4,Lakhimpur,20,2018,1,0,1,0,1,0,98.5,17993,98.4,14.7,60.6,122.2,55.4,114.7,16420,253,14,23069,77.81,14.06,111,159,40,17,1,1,218,82078,1
167,Assam,4,Lakhimpur,20,2019,1,0,0,1,0,1,99.2,17163,98.2,14.7,71.7,102.6,54.3,113.8,17648,233,11,20464,64.09,13.58,183,159,40,17,1,1,218,86182,1
168,Assam,4,Marigaon,21,2017,0,1,0,0,0,0,84.1,18466,99.1,16.2,44.2,119.9,41.3,106.4,1149,192,28,23973,151.63,10.4,58,130,38,5,5,1,174,74183,1
169,Assam,4,Marigaon,21,2018,1,0,1,0,1,0,88.6,18144,98.9,14.3,34.7,117.8,36.7,117.2,18943,165,23,23574,126.76,9.09,111,131,37,6,6,1,175,82078,1
170,Assam,4,Marigaon,21,2019,1,0,0,1,0,1,89.4,16010,98.4,13.6,56.5,122.8,53.4,117.7,17250,260,17,21569,106.18,16.24,183,131,37,6,6,1,175,86182,1
171,Assam,4,Nagaon,22,2017,0,1,0,0,0,0,90.8,59085,97.6,8.3,62.3,110.4,58.3,98.0,477,667,73,67596,123.55,11.29,58,364,87,30,30,1,482,74183,1
172,Assam,4,Nagaon,22,2018,1,0,1,0,1,0,92.4,58678,97.7,9.8,52.3,96.0,55.2,101.7,27251,525,62,68503,105.66,8.95,111,366,87,32,32,1,486,82078,1
173,Assam,4,Nagaon,22,2019,1,0,0,1,0,1,92.9,57294,98.0,12.9,70,106.9,67.8,95.5,47865,692,61,64328,106.47,12.08,183,366,87,32,32,1,486,86182,1
174,Assam,4,Nalbari,23,2017,0,1,0,0,0,0,96.0,13040,99.1,15.4,81.6,99.9,64.3,104.8,433,205,8,13312,61.35,15.72,58,157,46,15,15,1,219,74183,1
175,Assam,4,Nalbari,23,2018,1,0,1,0,1,0,96.5,12527,99.2,14.9,74.5,101.5,61.7,107.5,12349,232,11,13842,87.81,18.52,111,157,46,15,15,1,219,82078,1
176,Assam,4,Nalbari,23,2019,1,0,0,1,0,1,97.4,11459,99.1,13.7,91.5,106.0,70.2,110.3,10841,204,9,12668,78.54,17.8,183,157,46,15,15,1,219,86182,1
177,Assam,4,Sibsagar,24,2017,0,1,0,0,0,0,98.4,13729,98.2,18.2,73.5,110.5,53.7,117.8,556,330,33,19673,240.37,24.04,58,221,96,9,2,1,329,74183,1
178,Assam,4,Sibsagar,24,2018,1,0,1,0,1,0,98.9,13770,98.5,16.6,63.2,106.3,46.5,123.7,14181,167,8,20723,58.1,12.13,111,221,96,9,2,1,329,82078,1
179,Assam,4,Sibsagar,24,2019,1,0,0,1,0,1,99.4,12515,98.3,19.0,68.2,106.0,59.5,127.0,13719,117,7,18333,55.93,9.35,183,221,96,9,2,1,329,86182,1
